"指数","信用","交易ID","应用程序ID","名称","价钱","上市","采取行动","金额"
130,1,667221420880871112-667221420880871113,730,"AK-47 | 阿努比斯军团 (略有磨损)","¥ 400.00",2025-28-10,2026-11-4,1
123,0,765178889464847459-765178889464847460,730,"印花 | FaZe Clan（全息）| 2022年安特卫普锦标赛","¥ 33.85",2025-15-12,2025-15-12,1
122,0,759549389924843936-759549389924843937,730,"印花 | Natus Vincere（全息）| 2022年安特卫普锦标赛","¥ 35.94",2025-15-12,2025-15-12,1
121,0,726898292626211907-726898292626211908,730,"印花 | ZywOo（全息，冠军）| 2025年奥斯汀锦标赛","¥ 14.22",2025-14-12,2025-14-12,1
120,0,734778322857386622-734778322857386623,730,"印花 | ZywOo（全息，冠军）| 2025年奥斯汀锦标赛","¥ 12.38",2025-14-12,2025-14-12,1
119,0,765178889458411703-765178889458411704,730,"印花 | donk（全息，冠军）| 2024年上海锦标赛","¥ 23.40",2025-14-12,2025-14-12,1
118,0,731401892251889110-731401892251889111,730,"印花 | ZywOo（全息，冠军）| 2025年奥斯汀锦标赛","¥ 14.22",2025-14-12,2025-14-12,1
117,0,766304789362640008-766304789362640009,730,"印花 | donk（全息，冠军）| 2024年上海锦标赛","¥ 21.94",2025-14-12,2025-14-12,1
116,0,766304789362638892-766304789362638893,730,"印花 | donk（全息，冠军）| 2024年上海锦标赛","¥ 21.94",2025-14-12,2025-14-12,1
105,0,762927089633678115-762927089633678116,730,"印花 | m0NESY（全息）| 2024年哥本哈根锦标赛","¥ 66.90",2025-13-12,2025-14-12,1
99,0,762927089640237747-762927089640237748,730,"印花 | ropz（全息，冠军）| 2025年奥斯汀锦标赛","¥ 7.97",2025-14-12,2025-14-12,1
98,0,733653692063829878-733653692063829879,730,"印花 | FaZe Clan（全息）| 2022年安特卫普锦标赛","¥ 35.03",2025-14-12,2025-14-12,1
92,0,716762033175235821-716762033175235822,730,"封装的创世终端机","¥ 6.55",2025-6-11,2025-6-11,1
91,0,738154131435189841-738154131435189842,730,"封装的创世终端机","¥ 6.56",2025-6-11,2025-6-11,1
90,0,734776431734060525-734776431734060526,730,"封装的创世终端机","¥ 6.50",2025-6-11,2025-6-11,1
89,1,667221420880882560-667221420880882561,730,"FN57 | 狩猎利器 (久经沙场)","¥ 150.00",2025-28-10,2025-1-11,1
88,1,667221420880888788-667221420880888789,730,"M4A4 | 死寂空间 (久经沙场)","¥ 100.01",2025-28-10,2025-31-10,1
87,1,667221420880946676-667221420880946677,730,"格洛克18型 | 荒野反叛 (崭新出厂)","¥ 800.04",2025-28-10,2025-31-10,1
86,1,667221420880963272-667221420880963273,730,"P250 | 生化短吻鳄 (久经沙场)","¥ 550.00",2025-28-10,2025-31-10,1
85,1,667221420880866648-667221420880866649,730,"AK-47 | 一发入魂 (略有磨损)","¥ 500.02",2025-28-10,2025-29-10,1
84,1,667221420880857900-667221420880857901,730,"UMP-45 | 动量 (崭新出厂)","¥ 100.04",2025-28-10,2025-28-10,1
83,1,667221420880850664-667221420880850665,730,"FN57 | 狩猎利器 (久经沙场)","¥ 100.03",2025-28-10,2025-28-10,1
82,1,667221420880954308-667221420880954309,730,"PP-野牛 | 阿努比斯之审判 (略有磨损)","¥ 600.04",2025-28-10,2025-28-10,1
81,0,4329691109162859345-4329691109162859346,730,"USP消音版 | 沙漠战术 (久经沙场)","¥ 3.65",2025-26-4,2025-26-4,1
80,0,5370010666710458774-5370010666710458775,730,"反冲武器箱","¥ 4.40",2024-15-12,2024-15-12,1
79,0,5370010666710457494-5370010666710457495,730,"反冲武器箱","¥ 4.40",2024-15-12,2024-15-12,1
78,0,5490481956742552807-5490481956742552808,730,"反冲武器箱","¥ 4.41",2024-15-12,2024-15-12,1
62,0,3756577617183101090-3756577617183101091,730,"棱彩2号武器箱","¥ 0.46",2024-25-5,2024-25-5,1
61,0,3756577617183113650-3756577617183113651,730,"棱彩2号武器箱","¥ 0.46",2024-25-5,2024-25-5,1
60,0,3756577617183100850-3756577617183100851,730,"棱彩2号武器箱","¥ 0.46",2024-25-5,2024-25-5,1
59,0,3756577617183090930-3756577617183090931,730,"棱彩2号武器箱","¥ 0.46",2024-25-5,2024-25-5,1
58,0,3756577617183101290-3756577617183101291,730,"棱彩2号武器箱","¥ 0.46",2024-25-5,2024-25-5,1
57,0,3756577617183101430-3756577617183101431,730,"棱彩2号武器箱","¥ 0.46",2024-25-5,2024-25-5,1
43,0,2594579790132610188-2594579790132610189,730,"“头号特训”武器箱","¥ 0.27",2023-23-4,2023-23-4,1
42,0,2595705690040369649-2595705690040369650,730,"“头号特训”武器箱","¥ 0.27",2023-23-4,2023-23-4,1
41,0,2587824390681810812-2587824390681810813,730,"“头号特训”武器箱","¥ 0.27",2023-23-4,2023-23-4,1
40,0,2594579790132621298-2594579790132621299,730,"“头号特训”武器箱","¥ 0.27",2023-23-4,2023-23-4,1
39,0,4417411197345780958-4417411197345780959,730,"“突围大行动”武器箱","¥ 3.59",2023-22-4,2023-23-4,1
38,0,4417411197345783178-4417411197345783179,730,"“突围大行动”武器箱","¥ 3.59",2023-22-4,2023-23-4,1
37,0,4417411197345782068-4417411197345782069,730,"“突围大行动”武器箱","¥ 3.59",2023-22-4,2023-23-4,1
